104.130.6.102 - - [22/May/2015:23:05:49 +0000] "GET /downloads/product_2 HTTP/1.1" 200 1768 "-" "Chef Client/11.12.8 (ruby-1.9.3-p484; ohai-7.0.4; x86_64-linux; +http://opscode.com)"
54.239.240.49 - - [22/May/2015:23:05:56 +0000] "GET /downloads/product_1 HTTP/1.1" 200 85619205 "-" "Chef Client/11.16.4 (ruby-1.9.3-p547; ohai-7.4.0; x86_64-linux; +http://opscode.com)"
74.125.60.158 - - [22/May/2015:23:05:11 +0000] "GET /downloads/product_1 HTTP/1.1" 404 341 "-" "Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
180.179.174.219 - - [22/May/2015:23:05:32 +0000] "GET /downloads/product_2 HTTP/1.1" 404 339 "-" "Debian APT-HTTP/1.3 (0.9.7.9)"
74.125.60.158 - - [22/May/2015:23:05:50 +0000] "GET /downloads/product_1 HTTP/1.1" 404 340 "-" "Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
180.179.174.219 - - [22/May/2015:23:05:18 +0000] "GET /downloads/product_2 HTTP/1.1" 404 336 "-" "Debian APT-HTTP/1.3 (0.9.7.9)"
74.125.60.158 - - [22/May/2015:23:05:56 +0000] "GET /downloads/product_1 HTTP/1.1" 404 339 "-" "Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
180.179.174.219 - - [22/May/2015:23:05:27 +0000] "GET /downloads/product_2 HTTP/1.1" 404 338 "-" "Debian APT-HTTP/1.3 (0.9.7.9)"
74.125.60.158 - - [22/May/2015:23:05:11 +0000] "GET /downloads/product_1 HTTP/1.1" 404 336 "-" "Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
180.179.174.219 - - [22/May/2015:23:05:25 +0000] "GET /downloads/product_2 HTTP/1.1" 404 338 "-" "Debian APT-HTTP/1.3 (0.9.7.9)"
74.125.60.158 - - [22/May/2015:23:05:50 +0000] "GET /downloads/product_1 HTTP/1.1" 404 339 "-" "Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
